묶음,재료명,빈도,출처,표준명,판정,메모
271,두릅,5,농식,,,
272,보리,5,농식,,,
273,게살,5,농식,,,
274,래디쉬,5,농식,,,
275,콩비지,5,농식,,,
276,삼치,5,식,,,
277,콜라비,5,식,,,
278,톳,5,식,,,
279,통삼겹,5,식,,,
280,애플민트,5,식,,,
281,백미,5,식,,,
282,묵은지,5,식,,,
283,소주,5,식,,,
284,불린 쌀,5,식,,,
285,계핏가루,4,농,,,
286,깐밤,4,농식,,,
287,열무,4,농식,,,
288,쭈꾸미,4,농식,,,
289,블랙올리브,4,농식,,,
290,청정원맛선생,4,농,,,
291,조기,4,농식,,,
292,사골,4,농,,,
293,석이버섯,4,농,,,
294,컬리플라워,4,농식,,,
295,자몽,4,농식,,,
296,녹두,4,농,,,
297,봄동,4,농식,,,
298,불린쌀,4,농식,,,
299,광어,4,농식,,,
300,조청,4,농식,,,
301,우스터소스,4,농식,,,
302,춘권피,4,농식,,,
303,아욱,4,농식,,,
304,파스타,4,농식,,,
305,닭봉,4,농식,,,
306,조,4,농식,,,
307,근대,4,농식,,,
308,슬라이스햄,4,농식,,,
309,라임,4,농식,,,
310,강낭콩,4,식,,,
311,레디쉬,4,식,,,
312,백일송이,4,식,,,
313,닭뼈,4,식,,,
314,홍초,4,식,,,
